11-28 18:08:29: Training starting...
Episode 135: Reward: 20.00, Epsilon: 0.5058, k: 0.7273, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 136: Reward: 19.00, Epsilon: 0.5032, k: 0.7502, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 137: Reward: 17.00, Epsilon: 0.5007, k: 0.7534, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 138: Reward: 11.00, Epsilon: 0.4982, k: 0.7042, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 139: Reward: 10.00, Epsilon: 0.4957, k: 0.6512, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 140: Reward: 17.00, Epsilon: 0.4932, k: 0.6643, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 141: Reward: 13.00, Epsilon: 0.4908, k: 0.6413, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 142: Reward: 11.00, Epsilon: 0.4883, k: 0.6033, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 143: Reward: 10.00, Epsilon: 0.4859, k: 0.5604, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 144: Reward: 10.00, Epsilon: 0.4834, k: 0.5217, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 145: Reward: 15.00, Epsilon: 0.4810, k: 0.5304, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 146: Reward: 14.00, Epsilon: 0.4786, k: 0.5295, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 147: Reward: 13.00, Epsilon: 0.4762, k: 0.5201, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 148: Reward: 12.00, Epsilon: 0.4738, k: 0.5028, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 149: Reward: 12.00, Epsilon: 0.4715, k: 0.4873, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 150: Reward: 14.00, Epsilon: 0.4691, k: 0.4908, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 151: Reward: 18.00, Epsilon: 0.4668, k: 0.5287, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 152: Reward: 14.00, Epsilon: 0.4644, k: 0.5280, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 153: Reward: 9.00, Epsilon: 0.4621, k: 0.4839, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 154: Reward: 11.00, Epsilon: 0.4598, k: 0.4616, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 155: Reward: 10.00, Epsilon: 0.4575, k: 0.4328, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 156: Reward: 15.00, Epsilon: 0.4552, k: 0.4504, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 157: Reward: 11.00, Epsilon: 0.4529, k: 0.4314, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 158: Reward: 11.00, Epsilon: 0.4507, k: 0.4144, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 159: Reward: 26.00, Epsilon: 0.4484, k: 0.5295, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 160: Reward: 13.00, Epsilon: 0.4462, k: 0.5200, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 161: Reward: 16.00, Epsilon: 0.4440, k: 0.5376, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 162: Reward: 9.00, Epsilon: 0.4417, k: 0.4925, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 163: Reward: 12.00, Epsilon: 0.4395, k: 0.4780, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 164: Reward: 16.00, Epsilon: 0.4373, k: 0.4998, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 165: Reward: 47.00, Epsilon: 0.4351, k: 0.7889, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 166: Reward: 11.00, Epsilon: 0.4330, k: 0.7361, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 167: Reward: 12.00, Epsilon: 0.4308, k: 0.6973, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 168: Reward: 9.00, Epsilon: 0.4286, k: 0.6363, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 169: Reward: 12.00, Epsilon: 0.4265, k: 0.6074, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
