11-28 10:10:29: Training starting...
Episode 162: Reward: 11.00, Epsilon: 0.4417, k: 216.7273, Noise Penalty Scale: 0.1000
Episode 163: Reward: 12.00, Epsilon: 0.4395, k: 217.6000, Noise Penalty Scale: 0.1000
Episode 164: Reward: 11.00, Epsilon: 0.4373, k: 218.4000, Noise Penalty Scale: 0.1000
Episode 165: Reward: 20.00, Epsilon: 0.4351, k: 219.8545, Noise Penalty Scale: 0.1000
Episode 166: Reward: 11.00, Epsilon: 0.4330, k: 220.6545, Noise Penalty Scale: 0.1000
Episode 167: Reward: 13.00, Epsilon: 0.4308, k: 221.6000, Noise Penalty Scale: 0.1000
Episode 168: Reward: 13.00, Epsilon: 0.4286, k: 222.5455, Noise Penalty Scale: 0.1000
Episode 169: Reward: 29.00, Epsilon: 0.4265, k: 224.6545, Noise Penalty Scale: 0.1000
Episode 170: Reward: 14.00, Epsilon: 0.4244, k: 225.6727, Noise Penalty Scale: 0.1000
Episode 171: Reward: 14.00, Epsilon: 0.4223, k: 226.6909, Noise Penalty Scale: 0.1000
Episode 172: Reward: 31.00, Epsilon: 0.4201, k: 228.9455, Noise Penalty Scale: 0.1000
Episode 173: Reward: 9.00, Epsilon: 0.4180, k: 229.6000, Noise Penalty Scale: 0.1000
Episode 174: Reward: 10.00, Epsilon: 0.4159, k: 230.3273, Noise Penalty Scale: 0.1000
Episode 175: Reward: 19.00, Epsilon: 0.4139, k: 231.7091, Noise Penalty Scale: 0.1000
Episode 176: Reward: 15.00, Epsilon: 0.4118, k: 232.8000, Noise Penalty Scale: 0.1000
Episode 177: Reward: 9.00, Epsilon: 0.4097, k: 233.4545, Noise Penalty Scale: 0.1000
Episode 178: Reward: 14.00, Epsilon: 0.4077, k: 234.4727, Noise Penalty Scale: 0.1000
Episode 179: Reward: 13.00, Epsilon: 0.4057, k: 235.4182, Noise Penalty Scale: 0.1000
Episode 180: Reward: 12.00, Epsilon: 0.4036, k: 236.2909, Noise Penalty Scale: 0.1000
Episode 181: Reward: 9.00, Epsilon: 0.4016, k: 236.9455, Noise Penalty Scale: 0.1000
Episode 182: Reward: 9.00, Epsilon: 0.3996, k: 237.6000, Noise Penalty Scale: 0.1000
Episode 183: Reward: 10.00, Epsilon: 0.3976, k: 238.3273, Noise Penalty Scale: 0.1000
Episode 184: Reward: 9.00, Epsilon: 0.3956, k: 238.9818, Noise Penalty Scale: 0.1000
Episode 185: Reward: 12.00, Epsilon: 0.3936, k: 239.8545, Noise Penalty Scale: 0.1000
Episode 186: Reward: 20.00, Epsilon: 0.3917, k: 241.3091, Noise Penalty Scale: 0.1000
Episode 187: Reward: 13.00, Epsilon: 0.3897, k: 242.2545, Noise Penalty Scale: 0.1000
Episode 188: Reward: 10.00, Epsilon: 0.3878, k: 242.9818, Noise Penalty Scale: 0.1000
Episode 189: Reward: 12.00, Epsilon: 0.3858, k: 243.8545, Noise Penalty Scale: 0.1000
Episode 190: Reward: 11.00, Epsilon: 0.3839, k: 244.6545, Noise Penalty Scale: 0.1000
Episode 191: Reward: 12.00, Epsilon: 0.3820, k: 245.5273, Noise Penalty Scale: 0.1000
Episode 192: Reward: 10.00, Epsilon: 0.3801, k: 246.2545, Noise Penalty Scale: 0.1000
Episode 193: Reward: 15.00, Epsilon: 0.3782, k: 247.3455, Noise Penalty Scale: 0.1000
Episode 194: Reward: 8.00, Epsilon: 0.3763, k: 247.9273, Noise Penalty Scale: 0.1000
Episode 195: Reward: 12.00, Epsilon: 0.3744, k: 248.8000, Noise Penalty Scale: 0.1000
Episode 196: Reward: 11.00, Epsilon: 0.3725, k: 249.6000, Noise Penalty Scale: 0.1000
Episode 197: Reward: 15.00, Epsilon: 0.3707, k: 250.6909, Noise Penalty Scale: 0.1000
Episode 198: Reward: 18.00, Epsilon: 0.3688, k: 252.0000, Noise Penalty Scale: 0.1000
Episode 199: Reward: 15.00, Epsilon: 0.3670, k: 253.0909, Noise Penalty Scale: 0.1000
Episode 200: Reward: 13.00, Epsilon: 0.3651, k: 254.0364, Noise Penalty Scale: 0.1000
Episode 201: Reward: 15.00, Epsilon: 0.3633, k: 255.1273, Noise Penalty Scale: 0.1000
Episode 202: Reward: 9.00, Epsilon: 0.3615, k: 255.7818, Noise Penalty Scale: 0.1000
Episode 203: Reward: 15.00, Epsilon: 0.3597, k: 256.8727, Noise Penalty Scale: 0.1000
Episode 204: Reward: 9.00, Epsilon: 0.3579, k: 257.5273, Noise Penalty Scale: 0.1000
Episode 205: Reward: 13.00, Epsilon: 0.3561, k: 258.4727, Noise Penalty Scale: 0.1000
