11-28 14:24:57: Training starting...
Episode 130: Reward: 37.00, Epsilon: 0.5186, k: 189.5333, Noise Penalty Scale: 0.1000
Episode 131: Reward: 12.00, Epsilon: 0.5160, k: 190.3333, Noise Penalty Scale: 0.1000
Episode 132: Reward: 20.00, Epsilon: 0.5134, k: 191.6667, Noise Penalty Scale: 0.1000
Episode 133: Reward: 36.00, Epsilon: 0.5108, k: 194.0667, Noise Penalty Scale: 0.1000
Episode 134: Reward: 33.00, Epsilon: 0.5083, k: 196.2667, Noise Penalty Scale: 0.1000
Episode 135: Reward: 15.00, Epsilon: 0.5058, k: 197.2667, Noise Penalty Scale: 0.1000
Episode 136: Reward: 20.00, Epsilon: 0.5032, k: 198.6000, Noise Penalty Scale: 0.1000
Episode 137: Reward: 9.00, Epsilon: 0.5007, k: 199.2000, Noise Penalty Scale: 0.1000
Episode 138: Reward: 14.00, Epsilon: 0.4982, k: 200.1333, Noise Penalty Scale: 0.1000
Episode 139: Reward: 11.00, Epsilon: 0.4957, k: 200.8667, Noise Penalty Scale: 0.1000
Episode 140: Reward: 11.00, Epsilon: 0.4932, k: 201.6000, Noise Penalty Scale: 0.1000
Episode 141: Reward: 9.00, Epsilon: 0.4908, k: 202.2000, Noise Penalty Scale: 0.1000
Episode 142: Reward: 12.00, Epsilon: 0.4883, k: 203.0000, Noise Penalty Scale: 0.1000
Episode 143: Reward: 11.00, Epsilon: 0.4859, k: 203.7333, Noise Penalty Scale: 0.1000
Episode 144: Reward: 37.00, Epsilon: 0.4834, k: 206.2000, Noise Penalty Scale: 0.1000
Episode 145: Reward: 9.00, Epsilon: 0.4810, k: 206.8000, Noise Penalty Scale: 0.1000
Episode 146: Reward: 12.00, Epsilon: 0.4786, k: 207.6000, Noise Penalty Scale: 0.1000
Episode 147: Reward: 22.00, Epsilon: 0.4762, k: 209.0667, Noise Penalty Scale: 0.1000
Episode 148: Reward: 11.00, Epsilon: 0.4738, k: 209.8000, Noise Penalty Scale: 0.1000
Episode 149: Reward: 11.00, Epsilon: 0.4715, k: 210.5333, Noise Penalty Scale: 0.1000
Episode 150: Reward: 13.00, Epsilon: 0.4691, k: 211.4000, Noise Penalty Scale: 0.1000
Episode 151: Reward: 18.00, Epsilon: 0.4668, k: 212.6000, Noise Penalty Scale: 0.1000
Episode 152: Reward: 44.00, Epsilon: 0.4644, k: 215.5333, Noise Penalty Scale: 0.1000
Episode 153: Reward: 20.00, Epsilon: 0.4621, k: 216.8667, Noise Penalty Scale: 0.1000
