11-28 01:17:15: Training starting...
Episode 118: Reward: 29.00, Epsilon: 0.5507, k: 2.2909, Noise Penalty Scale: 0.1000
Episode 119: Reward: 14.00, Epsilon: 0.5480, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 120: Reward: 22.00, Epsilon: 0.5452, k: 1.5273, Noise Penalty Scale: 0.1000
Episode 121: Reward: 13.00, Epsilon: 0.5425, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 122: Reward: 11.00, Epsilon: 0.5398, k: 0.3273, Noise Penalty Scale: 0.1000
Episode 123: Reward: 15.00, Epsilon: 0.5371, k: 0.7636, Noise Penalty Scale: 0.1000
Episode 124: Reward: 10.00, Epsilon: 0.5344, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 125: Reward: 27.00, Epsilon: 0.5318, k: 2.0727, Noise Penalty Scale: 0.1000
Episode 126: Reward: 19.00, Epsilon: 0.5291, k: 1.2000, Noise Penalty Scale: 0.1000
Episode 127: Reward: 36.00, Epsilon: 0.5264, k: 3.0545, Noise Penalty Scale: 0.1000
Episode 128: Reward: 16.00, Epsilon: 0.5238, k: 0.8727, Noise Penalty Scale: 0.1000
Episode 129: Reward: 23.00, Epsilon: 0.5212, k: 1.6364, Noise Penalty Scale: 0.1000
Episode 130: Reward: 17.00, Epsilon: 0.5186, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 131: Reward: 14.00, Epsilon: 0.5160, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 132: Reward: 19.00, Epsilon: 0.5134, k: 1.2000, Noise Penalty Scale: 0.1000
Episode 133: Reward: 20.00, Epsilon: 0.5108, k: 1.3091, Noise Penalty Scale: 0.1000
Episode 134: Reward: 17.00, Epsilon: 0.5083, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 135: Reward: 26.00, Epsilon: 0.5058, k: 1.9636, Noise Penalty Scale: 0.1000
Episode 136: Reward: 13.00, Epsilon: 0.5032, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 137: Reward: 39.00, Epsilon: 0.5007, k: 3.3818, Noise Penalty Scale: 0.1000
Episode 138: Reward: 28.00, Epsilon: 0.4982, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 139: Reward: 18.00, Epsilon: 0.4957, k: 1.0909, Noise Penalty Scale: 0.1000
Episode 140: Reward: 54.00, Epsilon: 0.4932, k: 5.0182, Noise Penalty Scale: 0.1000
Episode 141: Reward: 21.00, Epsilon: 0.4908, k: 1.4182, Noise Penalty Scale: 0.1000
